# PadDis v8.9,,,,,,,,,,,,,,,,
seq,timestamp_ms,accel_x,accel_y,accel_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,stroke_count,cpm,hz,gps_utc_sec,gps_uk_offset
61198,632742,6.35547,3.05078,8.10547,0.2076416,-0.38037109,-0.06018066,-0.89923096,-4.04382,-45.15767,-152.31332,24,26,0.434,51452,1
61199,632751,6.43359,3.05078,8.0625,0.19317627,-0.38153076,-0.06201172,-0.90179443,-2.90355,-45.40689,-154.60344,24,26,0.434,51452,1
61200,632761,6.50781,3.08594,7.83984,0.17944336,-0.38201904,-0.06427002,-0.90429688,-1.70745,-45.55862,-156.83565,24,26,0.434,51452,1
61201,632771,6.69922,2.55078,7.07422,0.1661377,-0.38183594,-0.06713867,-0.90667725,-0.42015,-45.6213,-159.05615,24,26,0.434,51452,1
61202,632784,6.92969,2.51172,6.6875,0.15380859,-0.38104248,-0.07055664,-0.90893555,0.90464,-45.59371,-161.17119,24,26,0.434,51452,1
61203,632791,6.8125,2.35938,6.53516,0.14099121,-0.37963867,-0.07519531,-0.91125488,2.45175,-45.48506,-163.4375,24,26,0.434,51452,1
61204,632801,6.66406,2.78125,6.11328,0.12878418,-0.37774658,-0.08062744,-0.91339111,4.07534,-45.29872,-165.65001,24,26,0.434,51452,1
61205,632812,6.20312,2.47266,4.69531,0.11700439,-0.37536621,-0.08709717,-0.91534424,5.8157,-45.03498,-167.84401,24,26,0.434,51452,1
61206,632820,5.89062,2.55078,4.50391,0.10577393,-0.37268066,-0.09436035,-0.91705322,7.6194,-44.71003,-169.97836,24,26,0.434,51452,1
61207,632830,5.625,2.70312,4.42969,0.0947876,-0.36968994,-0.10247803,-0.9185791,9.50848,-44.31838,-172.09694,24,26,0.434,51452,1
61208,632841,5.48047,2.93359,4.19922,0.08404541,-0.36657715,-0.11120605,-0.91986084,11.44069,-43.87799,-174.18008,24,26,0.434,51452,1
61209,632852,5.28125,3.08594,3.69922,0.07354736,-0.36340332,-0.1204834,-0.92089844,13.40364,-43.39382,-176.22124,24,26,0.434,51452,1
61210,632865,5.32422,3.31641,3.77734,0.06359863,-0.36035156,-0.1295166,-0.92156982,15.2659,-42.89659,-178.13206,24,26,0.434,51452,1
61211,632872,5.47656,3.54688,3.69922,0.05316162,-0.35723877,-0.13922119,-0.92205811,17.21548,-42.34391,179.88882,24,26,0.434,51452,1
61212,632881,5.625,4.19922,3.66016,0.04217529,-0.35406494,-0.1494751,-0.92224121,19.23407,-41.73349,177.84541,24,26,0.434,51452,1
61213,632892,5.62891,4.96484,3.625,0.03204346,-0.35125732,-0.15863037,-0.92218018,21.01729,-41.14895,176.01416,24,26,0.434,51452,1
61214,632900,5.74219,5.88281,3.73828,0.02105713,-0.34844971,-0.16772461,-0.92193604,22.79815,-40.51051,174.10667,24,26,0.434,51452,1
61215,632910,5.82031,6.22656,4.04688,0.01025391,-0.34588623,-0.17553711,-0.92163086,24.35653,-39.88023,172.32138,24,26,0.434,51452,1
61216,632920,5.70312,5.26953,4.54297,0.00018311,0.34313965,0.18292236,0.92132568,25.79584,-39.21191,170.65094,24,26,0.434,51452,1
61217,632932,5.32031,6.26562,5.00391,0.01098633,0.34051514,0.18920898,0.92095947,27.07091,-38.53703,169.01228,24,26,0.434,51452,1
61218,632945,5.28516,6.30859,5.26953,0.02166748,0.33795166,0.1940918,0.9206543,28.119,-37.87123,167.4825,24,26,0.434,51452,1
61219,632952,5.4375,6.42188,6.19141,0.03338623,0.33520508,0.19824219,0.92041016,29.07388,-37.14659,165.88585,24,26,0.434,51452,1
61220,632960,5.78125,6.42188,6.87891,0.04504395,0.33251953,0.20153809,0.92022705,29.88181,-36.42791,164.3593,24,26,0.434,51452,1
61221,632972,7.04688,6.83984,8.18359,0.05749512,0.32958984,0.20422363,0.91998291,30.60468,-35.65788,162.78966,24,26,0.434,51452,1
61222,632980,7.69531,6.57422,8.52734,0.07037354,0.32653809,0.20611572,0.91973877,31.20615,-34.86601,161.22595,24,26,0.434,51452,1
61223,632990,8.23438,5.88281,8.94922,0.08209229,0.32354736,0.20739746,0.91955566,31.6625,-34.12345,159.84949,24,26,0.434,51452,1
61224,633000,8.57812,5.76953,9.44922,0.09362793,0.32012939,0.2086792,0.91931152,32.07574,-33.3368,158.53085,24,26,0.434,51452,1
61225,633012,8.65234,5.42578,9.67578,0.10443115,0.31652832,0.21002197,0.91912842,32.44102,-32.54714,157.32747,24,26,0.434,51452,1
61226,633025,8.46094,5.34766,9.41016,0.1151123,0.31256104,0.21154785,0.91888428,32.79157,-31.71451,156.16391,24,26,0.434,51452,1
61227,633034,8.19531,5.30859,9.18359,0.12573242,0.30834961,0.21337891,0.91845703,33.15271,-30.84809,155.02014,24,26,0.434,51452,1
61228,633041,8.15625,5.19531,9.33203,0.1361084,0.30371094,0.21582031,0.91796875,33.54296,-29.92322,153.92329,24,26,0.434,51452,1
61229,633051,8.04297,4.42969,9.52734,0.14587402,0.29882812,0.21887207,0.9173584,33.96266,-28.97287,152.90712,24,26,0.434,51452,1
61230,633059,7.85156,4.3125,9.52734,0.15509033,0.29364014,0.22296143,0.91650391,34.46604,-27.97596,151.95412,24,26,0.434,51452,1
61231,633070,7.69531,3.54688,9.25,0.16375732,0.28808594,0.22839355,0.91540527,35.08464,-26.91419,151.06386,24,26,0.434,51452,1
61232,633080,7.50391,3.50781,8.94531,0.17126465,0.28259277,0.23522949,0.9140625,35.8302,-25.85069,150.28925,24,26,0.434,51452,1
61233,633091,7.23828,3.35547,8.56641,0.1774292,0.27734375,0.24334717,0.91235352,36.70101,-24.81654,149.64172,24,26,0.434,51452,1
61234,633105,7.19922,3.85156,8.52344,0.18328857,0.27215576,0.25341797,0.90997314,37.79409,-23.73066,148.99606,24,26,0.434,51452,1
61235,633110,7.19922,3.85156,8.52344,0.18927002,0.26745605,0.26519775,0.90679932,39.10617,-22.62395,148.29305,24,26,0.434,51452,1
61236,633120,7.00781,4.8125,7.57031,0.19348145,0.26275635,0.27880859,0.90319824,40.59227,-21.51606,147.77887,24,26,0.434,51452,1
61237,633131,6.89062,5.34766,7.25781,0.19671631,0.25836182,0.29333496,0.89916992,42.17796,-20.43929,147.36482,24,26,0.434,51452,1
61238,633139,6.92969,5.80859,7.29688,0.19909668,0.25390625,0.30975342,0.89440918,43.9698,-19.31994,147.03876,24,26,0.434,51452,1
61239,633150,7.04688,6.61328,7.49609,0.20080566,0.24969482,0.32678223,0.88916016,45.8364,-18.22674,146.78804,24,26,0.434,51452,1
61240,633160,7.3125,6.6875,7.57422,0.2019043,0.24572754,0.34399414,0.88348389,47.73433,-17.17421,146.60947,24,26,0.434,51452,1
61241,633171,7.66016,7.45312,7.57031,0.20239258,0.2421875,0.36029053,0.87780762,49.54161,-16.22173,146.50784,24,26,0.434,51452,1
61242,633184,7.66016,8.33594,7.64453,0.20257568,0.23858643,0.37683105,0.87182617,51.37674,-15.26756,146.46046,24,26,0.434,51452,1
61243,633192,7.66016,9.29297,7.95312,0.20245361,0.23504639,0.39276123,0.86572266,53.15174,-14.35595,146.46562,24,26,0.434,51452,1
61244,633200,7.69531,10.4375,8.02734,0.20220947,0.23138428,0.4074707,0.85992432,54.77953,-13.48398,146.52478,24,26,0.434,51452,1
61245,633211,7.39062,13.125,7.76172,0.20214844,0.2276001,0.41900635,0.85540771,56.01778,-12.70838,146.62816,24,26,0.434,51452,1
